@relation 'activity_recognition'

@attribute CentroidAccX numeric
@attribute CentroidAccY numeric
@attribute CentroidAccZ numeric
@attribute class {sitting,standing,walking,stairs_down,stairs_up}

@data
-0.279,-0.1656,9.89,sitting
-0.3963,-0.1967,9.9211,sitting
-0.4082,-0.1799,9.9307,sitting
-0.3939,-0.2015,9.914,sitting
-0.3723,-0.1871,9.9044,sitting
-0.3939,-0.1871,9.9092,sitting
-0.4513,-0.223,9.8876,sitting
-0.3556,-0.1871,9.8805,sitting
-0.5207,-0.2493,9.8996,sitting
-0.4106,-0.235,9.9092,sitting
-0.4202,-0.1895,9.8924,sitting
-0.4058,-0.156,9.8757,sitting
-0.3532,-0.1991,9.902,sitting
-0.4465,-0.2708,9.8876,sitting
-0.4202,-0.1703,9.9044,sitting
-0.3604,-0.1919,9.902,sitting
-0.4082,-0.2038,9.8972,sitting
-0.3963,-0.1919,9.902,sitting
-0.3939,-0.1656,9.8924,sitting
-0.3604,-0.1416,9.9164,sitting
-0.3676,-0.3187,9.8757,sitting
-0.3939,-0.1703,9.89,sitting
-0.358,-0.2158,9.8805,sitting
-0.3867,-0.2493,9.9211,sitting
-0.4346,-0.144,9.902,sitting
-0.3556,-0.2565,9.9451,sitting
-0.4848,-0.0172,9.9331,sitting
-0.3173,-0.2469,9.8709,sitting
-0.4824,0.124,10.5289,sitting
-0.6978,-0.5221,9.8829,sitting
0.8504,-0.3809,9.689,sitting
0.4221,-0.7494,9.9187,sitting
1.0059,-0.2302,9.3564,sitting
